%LAMBDA nm	HbO2 1/(mm*mM)	Hb 1/(mm*mM)	H2O 1/mm	Melanin 1/mm
395	61.61674766	52.50254719	6.57E-05	151.0501314
396	61.61674766	52.50254719	6.57E-05	151.0501314
470	9.441119595	9.506695622	2.92E-05	87.02191439
471	9.441119595	9.506695622	2.92E-05	87.02191439
525	6.995404919	7.458346916	3.83E-05	61.48145777
526	6.995404919	7.458346916	3.83E-05	61.48145777
590	2.759803452	4.945063586	0.000201595	37.54135376
591	2.759803452	4.945063586	0.000201595	37.54135376
620	0.368079461	1.724721654	0.0002748	32.51353547
621	0.368079461	1.724721654	0.0002748	32.51353547
658	0.092856868	0.816546317	0.000352633	26.82071102
659	0.092856868	0.816546317	0.000352633	26.82071102
690	0.068614488	0.444211093	0.000710183	21.80086703
691	0.068614488	0.444211093	0.000710183	21.80086703
730	0.089236595	0.305292719	0.001646935	18.86414051
731	0.089236595	0.305292719	0.001646935	18.86414051
810	0.217854456	0.167663704	0.003137254	11.99180095
811	0.217854456	0.167663704	0.003137254	11.99180095
850	0.238007169	0.161893953	0.004071169	11.05951029
851	0.238007169	0.161893953	0.004071169	11.05951029
970	0.264642157	0.114982986	0.036272917	7.050423844
971	0.264642157	0.114982986	0.036272917	7.050423844
