%Wavelength (nm)	O2Hb (mm^-1mM^-1)	HHb (mm^-1mM^-1)	Water (mm^-1)	Lipid (mm^-1)
600 0.883272    3.462167    0.0002224   0.000466
601	0.788944	3.067345	0.000233588	0.000471
602	0.710117	2.704156	0.00024314	0.000479
603	0.642331	2.502866	0.00025013	0.000487
604	0.583015	2.385478	0.000254628	0.000487
605	0.530799	2.250019	0.0002577	0.000484
606	0.487227	2.106865	0.000260231	0.00048
607	0.45314	1.986005	0.000262202	0.000475
608	0.423676	1.883515	0.000263383	0.00047
609	0.394067	1.789419	0.000263933	0.000469
610	0.365651	1.703452	0.0002644	0.000464
611	0.340644	1.627117	0.000265194	0.000458
612	0.318678	1.559311	0.00026611	0.000454
613	0.298873	1.498465	0.0002668	0.000442
614	0.280915	1.443721	0.000267255	0.000427
615	0.264599	1.39434	0.0002678	0.000422
616	0.2496	1.349315	0.000268706	0.000423
617	0.235656	1.307714	0.000269964	0.00043
618	0.22289	1.269185	0.000271498	0.000437
619	2.11E-01	1.23358	0.000273315	0.000435
620	0.200785	1.201028	0.0002755	0.00043
621	1.91E-01	1.171537	0.000278003	0.000425
622	0.181444	1.144385	0.000280225	0.000433
623	1.73E-01	1.118872	0.000281473	0.00044
624	0.165786	1.095109	0.000282078	0.000438
625	1.58E-01	1.07324	0.0002834	0.000432
626	0.15105	1.052742	0.000286287	0.000426
627	1.44E-01	1.033223	0.000289377	0.000424
628	0.138155	1.01544	0.000290843	0.000426
629	1.33E-01	0.999571	0.000290859	0.000428
630	0.128024	0.982283	0.0002916	0.000428
631	1.23E-01	0.961207	0.000294561	0.000429
632	0.118813	0.941297	0.000298176	0.000437
633	1.14E-01	0.927495	0.000300206	0.000444
634	0.110524	0.91735	0.000300542	0.00044
635	1.08E-01	0.907343	0.0003012	0.000431
636	0.104998	0.897087	0.000303626	0.00042
637	1.02E-01	0.887025	0.000306598	0.000422
638	9.95E-02	0.877745	0.000308318	0.000433
639	9.74E-02	0.869636	0.000308985	0.000446
640	9.58E-02	0.862088	0.0003108	0.000452
641	9.43E-02	0.854512	0.000315194	0.00045
642	9.30E-02	0.847351	0.000320177	0.000449
643	9.19E-02	0.841095	0.000323022	0.000453
644	9.12E-02	0.835378	0.000323724	0.00046
645	9.11E-02	0.829753	0.000325	0.000465
646	9.12E-02	0.824325	0.00032877	0.000464
647	9.08E-02	0.819237	0.00033329	0.000464
648	9.03E-02	0.814194	0.000336022	0.000464
649	9.01E-02	0.808976	0.000337235	0.000465
650	9.03E-02	0.804063	0.00034	0.000471
651	9.07E-02	0.79986	0.000346445	0.000472
652	9.12E-02	0.795773	0.000354431	0.000467
653	9.13E-02	0.790977	0.000360876	0.000464
654	9.12E-02	0.784721	0.000365534	0.000457
655	9.07E-02	0.776908	0.000371	4.48E-04
656	9.03E-02	0.769984	0.000379155	4.38E-04
657	9.00E-02	0.765966	0.000388551	0.000428
658	9.03E-02	0.762616	0.000396973	0.000424
659	9.11E-02	0.757375	0.0004038	0.000422
660	9.21E-02	0.750643	0.00041	0.000418
