wavelength	mua	musp
650	0.002793479968	1.193342893
650.5	0.002794305496	1.19195604
651	0.002795483248	1.190571862
651.5	0.002797192931	1.189190353
652	0.002799430738	1.187811505
652.5	0.002801928042	1.186435312
653	0.002804289295	1.185061765
653.5	0.002806164474	1.183690859
654	0.002807553732	1.182322585
654.5	0.002808381827	1.180956937
655	0.002808448467	1.179593908
655.5	0.002807739425	1.17823349
656	0.002806410373	1.176875677
656.5	0.002804625742	1.175520462
657	0.002802433987	1.174167838
657.5	0.002799880484	1.172817798
658	0.002797059518	1.171470334
658.5	0.002794518959	1.170125441
659	0.002792889921	1.168783111
659.5	0.002792537611	1.167443338
660	0.002793240918	1.166106114
660.5	0.002794289635	1.164771433
661	0.002795280343	1.163439288
661.5	0.002796054489	1.162109673
662	0.002796566409	1.16078258
662.5	0.002796928217	1.159458004
663	0.002796931236	1.158135936
663.5	0.002796490388	1.156816372
664	0.002795560597	1.155499303
664.5	0.002794210013	1.154184724
665	0.00279234975	1.152872628
665.5	0.002789873309	1.151563008
666	0.002786962443	1.150255858
666.5	0.002783972864	1.148951171
667	0.002781020237	1.147648941
667.5	0.002778246312	1.146349162
668	0.002776056933	1.145051826
668.5	0.002774444257	1.143756928
669	0.002773438821	1.142464461
669.5	0.002773229312	1.141174419
670	0.002773873842	1.139886795
670.5	0.002774699532	1.138601583
671	0.002775147634	1.137318777
671.5	0.002775019152	1.13603837
672	0.002774550026	1.134760357
672.5	0.002773428382	1.13348473
673	0.002771672575	1.132211485
673.5	0.002769432453	1.130940613
674	0.002766753525	1.12967211
674.5	0.002763824317	1.128405969
675	0.002760687172	1.127142184
675.5	0.002757263585	1.125880749
676	0.002753738749	1.124621658
676.5	0.00275085873	1.123364904
677	0.002749387011	1.122110482
677.5	0.002748985019	1.120858386
678	0.002748721642	1.119608609
678.5	0.002748266242	1.118361145
679	0.00274755655	1.11711599
679.5	0.002746647561	1.115873135
680	0.002745553683	1.114632577
680.5	0.002744351194	1.113394308
681	0.002743097392	1.112158323
681.5	0.002741489093	1.110924616
682	0.002739464042	1.109693181
682.5	0.002737147805	1.108464012
683	0.002734446347	1.107237104
683.5	0.002731465531	1.10601245
684	0.002728524175	1.104790045
684.5	0.002725928762	1.103569883
685	0.002723609127	1.102351959
685.5	0.002721261133	1.101136265
686	0.002718938515	1.099922798
686.5	0.002716646951	1.098711551
687	0.002714325758	1.097502519
687.5	0.002711914114	1.096295695
688	0.002709610539	1.095091074
688.5	0.002707630433	1.093888651
689	0.002706004538	1.09268842
689.5	0.002704594411	1.091490376
690	0.002703268209	1.090294512
690.5	0.002702340094	1.089100823
691	0.00270230014	1.087909304
691.5	0.00270300388	1.08671995
692	0.002703880973	1.085532754
692.5	0.002704427424	1.084347711
693	0.002704625058	1.083164816
693.5	0.002704520333	1.081984064
694	0.002704055367	1.080805449
694.5	0.002703179483	1.079628965
695	0.002702155117	1.078454607
695.5	0.002701052259	1.07728237
696	0.002699816625	1.076112249
696.5	0.00269832135	1.074944237
697	0.002696799673	1.073778331
697.5	0.002695482197	1.072614523
698	0.002694370142	1.071452811
698.5	0.002693402147	1.070293187
699	0.002692779551	1.069135646
699.5	0.002692545904	1.067980185
700	0.002692467738	1.066826796
700.5	0.002692336838	1.065675476
701	0.002692249442	1.064526218
701.5	0.002692466903	1.063379018
702	0.00269294739	1.062233871
702.5	0.002693535851	1.061090771
703	0.002693914438	1.059949714
703.5	0.002693970402	1.058810693
704	0.00269361713	1.057673705
704.5	0.002692846027	1.056538744
705	0.002691666754	1.055405805
705.5	0.002690136945	1.054274883
706	0.002688402376	1.053145973
706.5	0.002686490113	1.05201907
707	0.002684349608	1.050894169
707.5	0.00268191562	1.049771265
708	0.002679226621	1.048650353
708.5	0.002676247014	1.047531428
709	0.002673155962	1.046414485
709.5	0.002670120193	1.04529952
710	0.002667465764	1.044186527
710.5	0.00266507323	1.043075502
711	0.002662893083	1.041966439
711.5	0.002660940689	1.040859334
712	0.002659213473	1.039754182
712.5	0.002657777829	1.038650978
713	0.002656502729	1.037549718
713.5	0.00265549027	1.036450397
714	0.002654740842	1.035353009
714.5	0.002654074926	1.03425755
715	0.002653443112	1.033164016
715.5	0.002652616732	1.032072401
716	0.002651715228	1.030982701
716.5	0.002650580849	1.029894912
717	0.002649251291	1.028809028
717.5	0.002647994022	1.027725045
718	0.002646915859	1.026642958
718.5	0.002646044286	1.025562763
719	0.002645154154	1.024484454
719.5	0.002644435415	1.023408028
