wavelength	mua	musp	n
395	0.016351	3.3742	1.43
396	0.016351	3.3742	1.43
470	0.016351	3.3742	1.43
471	0.016351	3.3742	1.43
525	0.019985	2.8074	1.43
526	0.019985	2.8074	1.43
590	0.023578	2.3556	1.43
591	0.023578	2.3556	1.43
620	0.02375     2.164	1.43
621	0.02375     2.164	1.43
625	0.02375     2.164	1.43
626	0.02375     2.164	1.43
658	0.024787	2.0276	1.43
659	0.024787	2.0276	1.43
690	0.026421	1.9251	1.43
691	0.026421	1.9251	1.43
730	0.026538	1.8298	1.43
731	0.026538	1.8298	1.43
732	0.026538	1.8298	1.43
850	0.025492	1.5811	1.43
851	0.025492	1.5811	1.43
852	0.025492	1.5811	1.43
970	0.020279	1.2657	1.43
971	0.020279	1.2657	1.43
